Vetor V:
V[0] = 0
V[1] = 13
V[2] = 26
V[3] = 39
V[4] = 52
V[5] = 65
V[6] = 78
V[7] = 91
V[8] = 104
V[9] = 117
V[10] = 130
V[11] = 143
V[12] = 156
V[13] = 169
V[14] = 182
V[15] = 195
V[16] = 208
V[17] = 221
V[18] = 234
V[19] = 247
V[20] = 260
V[21] = 273
V[22] = 286
V[23] = 299
V[24] = 312
V[25] = 325
V[26] = 338
V[27] = 351
V[28] = 364
V[29] = 377
V[30] = 390
V[31] = 403
V[32] = 416
V[33] = 429
V[34] = 442
V[35] = 455
V[36] = 468
V[37] = 481
V[38] = 494
V[39] = 507
V[40] = 520
V[41] = 533
V[42] = 546
V[43] = 559
V[44] = 572
V[45] = 585
V[46] = 598
V[47] = 611
V[48] = 624
V[49] = 637
V[50] = 650
V[51] = 663
V[52] = 676
V[53] = 689
V[54] = 702
V[55] = 715
V[56] = 728
V[57] = 741
V[58] = 754
V[59] = 767
V[60] = 780
V[61] = 793
V[62] = 806
V[63] = 819
V[64] = 832
V[65] = 845
V[66] = 858
V[67] = 871
V[68] = 884
V[69] = 897
V[70] = 910
V[71] = 923
V[72] = 936
V[73] = 949
V[74] = 962
V[75] = 975
V[76] = 988
V[77] = 1001
V[78] = 1014
V[79] = 1027
V[80] = 1040
V[81] = 1053
V[82] = 1066
V[83] = 1079
V[84] = 1092
V[85] = 1105
V[86] = 1118
V[87] = 1131
V[88] = 1144
V[89] = 1157
V[90] = 1170
V[91] = 1183
V[92] = 1196
V[93] = 1209
V[94] = 1222
V[95] = 1235
V[96] = 1248
V[97] = 1261
V[98] = 1274
V[99] = 1287
V[100] = 1300
V[101] = 1313
V[102] = 1326
V[103] = 1339
V[104] = 1352
V[105] = 1365
V[106] = 1378
V[107] = 1391
V[108] = 1404
V[109] = 1417
V[110] = 1430
V[111] = 1443
V[112] = 1456
V[113] = 1469
V[114] = 1482
V[115] = 1495
V[116] = 1508
V[117] = 1521
V[118] = 1534
V[119] = 1547
V[120] = 1560
V[121] = 1573
V[122] = 1586
V[123] = 1599
V[124] = 1612
V[125] = 1625
V[126] = 1638
V[127] = 1651
V[128] = 0
V[129] = 0
V[130] = 0
V[131] = 0
V[132] = 0
V[133] = 0
V[134] = 0
V[135] = 0
V[136] = 0
V[137] = 0
V[138] = 0
V[139] = 0
V[140] = 0
V[141] = 0
V[142] = 0
V[143] = 0
V[144] = 0
V[145] = 0
V[146] = 0
V[147] = 0
V[148] = 0
V[149] = 0
V[150] = 0
V[151] = 0
V[152] = 0
V[153] = 0
V[154] = 0
V[155] = 0
V[156] = 0
V[157] = 0
V[158] = 0
V[159] = 0
V[160] = 0
V[161] = 0
V[162] = 0
V[163] = 0
V[164] = 0
V[165] = 0
V[166] = 0
V[167] = 0
V[168] = 0
V[169] = 0
V[170] = 0
V[171] = 0
V[172] = 0
V[173] = 0
V[174] = 0
V[175] = 0
V[176] = 0
V[177] = 0
V[178] = 0
V[179] = 0
V[180] = 0
V[181] = 0
V[182] = 0
V[183] = 0
V[184] = 0
V[185] = 0
V[186] = 0
V[187] = 0
V[188] = 0
V[189] = 0
V[190] = 0
V[191] = 0
V[192] = 0
V[193] = 0
V[194] = 0
V[195] = 0
V[196] = 0
V[197] = 0
V[198] = 0
V[199] = 0
V[200] = 0
V[201] = 0
V[202] = 0
V[203] = 0
V[204] = 0
V[205] = 0
V[206] = 0
V[207] = 0
V[208] = 0
V[209] = 0
V[210] = 0
V[211] = 0
V[212] = 0
V[213] = 0
V[214] = 0
V[215] = 0
V[216] = 0
V[217] = 0
V[218] = 0
V[219] = 0
V[220] = 0
V[221] = 0
V[222] = 0
V[223] = 0
V[224] = 0
V[225] = 0
V[226] = 0
V[227] = 0
V[228] = 0
V[229] = 0
V[230] = 0
V[231] = 0
V[232] = 0
V[233] = 0
V[234] = 0
V[235] = 0
V[236] = 0
V[237] = 0
V[238] = 0
V[239] = 0
V[240] = 0
V[241] = 0
V[242] = 0
V[243] = 0
V[244] = 0
V[245] = 0
V[246] = 0
V[247] = 0
V[248] = 0
V[249] = 0
V[250] = 0
V[251] = 0
V[252] = 0
V[253] = 0
V[254] = 0
V[255] = 0
V[256] = 0
V[257] = 0
V[258] = 0
V[259] = 0
V[260] = 0
V[261] = 0
V[262] = 0
V[263] = 0
V[264] = 0
V[265] = 0
V[266] = 0
V[267] = 0
V[268] = 0
V[269] = 0
V[270] = 0
V[271] = 0
V[272] = 0
V[273] = 0
V[274] = 0
V[275] = 0
V[276] = 0
V[277] = 0
V[278] = 0
V[279] = 0
V[280] = 0
V[281] = 0
V[282] = 0
V[283] = 0
V[284] = 0
V[285] = 0
V[286] = 0
V[287] = 0
V[288] = 0
V[289] = 0
V[290] = 0
V[291] = 0
V[292] = 0
V[293] = 0
V[294] = 0
V[295] = 0
V[296] = 0
V[297] = 0
V[298] = 0
V[299] = 0
V[300] = 0
V[301] = 0
V[302] = 0
V[303] = 0
V[304] = 0
V[305] = 0
V[306] = 0
V[307] = 0
V[308] = 0
V[309] = 0
V[310] = 0
V[311] = 0
V[312] = 0
V[313] = 0
V[314] = 0
V[315] = 0
